"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00020151","0003375560","表２　現在の居住地（都道府県別）","-","201004-201103","2020-01-24"
"00020151","0003375561","表２　現在の居住地（居住市町村の人口規模別）","-","201004-201103","2020-01-24"
"00020151","0003398547","表１　性別","-","201004-201103","2020-01-24"
"00020151","0003398548","表３　勤続年数","-","201004-201103","2020-01-24"
"00020151","0003398549","表６　給与法適用職員の退職時の職種","-","201004-201103","2020-01-24"
"00020151","0003398550","表７　給与法適用職員の退職時の職務の級","-","201004-201103","2020-01-24"
"00020151","0003398551","表８　満額の退職共済年金の支給開始年齢を知った時期","-","201004-201103","2020-01-24"
"00020151","0003375592","表13　働きたいと思った年齢","-","201004-201103","2020-01-24"
"00020151","0003398552","表９　退職時の就労希望の有無","-","201004-201103","2020-01-24"
"00020151","0003398553","表10　退職後も働きたいと思った理由（複数回答）","-","201004-201103","2020-01-24"
"00020151","0003398554","表12　短時間勤務で働きたいと思った理由","-","201004-201103","2020-01-24"
"00020151","0003398555","表14　もっとも働きたいと思った就労先","-","201004-201103","2020-01-24"
"00020151","0003398556","表15　現在の就労の有無","-","201004-201103","2020-01-24"
"00020151","0003398557","表16　現在の就労先","-","201004-201103","2020-01-24"
"00020151","0003398558","表17　仕事に就いていない理由（複数回答）","-","201004-201103","2020-01-24"
"00020151","0003375600","表22　再任用を希望した結果（男女別）","-","201004-201103","2020-01-24"
"00020151","0003375601","表22　再任用を希望した結果（組織別）","-","201004-201103","2020-01-24"
"00020151","0003375602","表23　再任用の雇用期間（男女別）","-","201004-201103","2020-01-24"
"00020151","0003375603","表23　再任用の雇用期間（組織別）","-","201004-201103","2020-01-24"
"00020151","0003375605","表25　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（週平均勤務時間）","-","201004-201103","2020-01-24"
"00020151","0003375606","表25　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（週平均勤務日数）","-","201004-201103","2020-01-24"
"00020151","0003375615","再任用を希望したが、その後辞退した理由・再任用を希望しなかった理由","-","201004-201103","2020-01-24"
"00020151","0003398559","表18　退職前の再任用希望調査の実施状況","-","201004-201103","2020-01-24"
"00020151","0003398560","表19　再任用希望調査での希望の状況","-","201004-201103","2020-01-24"
"00020151","0003398561","表21　再任用職員として働きたいと思った理由（複数回答）","-","201004-201103","2020-01-24"
"00020151","0003398562","表28　再任用に際し重視した事項（複数回答）","-","201004-201103","2020-01-24"
