"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00200356","0003166756","問１　世帯構成（１）世帯数 世帯年収","年次",0,"2019-01-28"
"00200356","0003166757","問１　世帯構成（２）世帯主の年齢別 都市区分","年次",0,"2019-02-04"
"00200356","0003166758","問１　世帯構成（２）世帯主の年齢別 世帯主の職業","年次",0,"2019-02-04"
"00200356","0003166759","問１　世帯構成（３）世帯主の性別 世帯年収","年次",0,"2019-01-28"
"00200356","0003166777","問１　世帯構成（１）世帯数 世帯人員","年次",0,"2019-01-28"
"00200356","0003166778","問１　世帯構成（２）世帯主の年齢別 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166779","問１　世帯構成（２）世帯主の年齢別 世帯主年齢60歳以上","年次",0,"2019-02-04"
"00200356","0003166796","問１　世帯構成（１）世帯数 都市区分","年次",0,"2019-01-28"
"00200356","0003166797","問１　世帯構成（１）世帯数 世帯主の職業","年次",0,"2019-01-28"
"00200356","0003166798","問１　世帯構成（２）世帯主の年齢別 世帯年収","年次",0,"2019-02-04"
"00200356","0003166799","問１　世帯構成（３）世帯主の性別 都市区分","年次",0,"2019-01-28"
"00200356","0003166816","問１　世帯構成（１）世帯数 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166817","問１　世帯構成（１）世帯数 世帯主年齢60歳以上","年次",0,"2019-02-04"
"00200356","0003166818","問１　世帯構成（２）世帯主の年齢別 世帯人員","年次",0,"2019-02-04"
"00200356","0003166819","問１　世帯構成（３）世帯主の性別 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166820","問１　世帯構成（３）世帯主の性別 世帯人員","年次",0,"2019-01-28"
"00200356","0003166821","問２　情報通信機器の保有状況 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166822","問２　情報通信機器の保有状況 世帯主年齢60歳以上","年次",0,"2019-02-04"
"00200356","0003166823","問２　情報通信機器の保有意向 世帯人員","年次",0,"2019-01-28"
"00200356","0003166824","問３　固定電話回線の利用状況 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166825","問３　固定電話回線の利用状況 世帯主年齢60歳以上","年次",0,"2019-02-04"
"00200356","0003166826","問４　過去１年間のインターネットの利用状況 世帯人員","年次",0,"2019-01-28"
"00200356","0003166827","問４　世帯主のインターネット利用場所（自宅外） 世帯主年齢","年次",0,"2019-02-04"
"00200356","0003166828","問４　世帯主のインターネット利用場所（自宅外） 世帯主年齢60歳以上","年次",0,"2019-02-04"
"00200356","0003166829","問４　インターネットの接続形態（自宅） 世帯人員","年次",0,"2019-01-28"
