"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004019960","00450023","J1-1","総括表（病院の種類）","病院報告","令和３年病院報告","全国編","総覧","年次","202101-202112","2025-02-26"
"0004019973","00450023","J1-2","総括表（病床の種類）","病院報告","令和３年病院報告","全国編","総覧","年次","202101-202112","2025-02-26"
"0004019986","00450023","J2","在院患者延数・新入院患者数・退院患者数，病床－病院の種類・年次別","病院報告","令和３年病院報告","全国編","年次推移","年次","202101-202112","2025-02-26"
"0004019999","00450023","J5","外来患者延数，病院の種類・年次別","病院報告","令和３年病院報告","全国編","年次推移","年次","202101-202112","2025-02-26"
"0004020000","00450023","J6-1","１日平均在院患者数，病床の種類・年次別","病院報告","令和３年病院報告","全国編","年次推移","年次","202101-202112","2025-02-26"
"0004020001","00450023","J6-2","１日平均外来患者数，年次別","病院報告","令和３年病院報告","全国編","年次推移","年次","202101-202112","2025-02-26"
"0004020002","00450023","J7","病床利用率，平均在院日数，病床－病院の種類・年次別","病院報告","令和３年病院報告","全国編","年次推移","年次","202101-202112","2025-02-26"
"0004019963","00450023","J13","外来患者延数，月・病院の種類別","病院報告","令和３年病院報告","全国編","月別推移","年次","202101-202112","2025-02-26"
"0004019964","00450023","J14","地域医療支援病院，月・患者数・月末病床利用率・平均在院日数別","病院報告","令和３年病院報告","全国編","月別推移","年次","202101-202112","2025-02-26"
"0004019961","00450023","J9-1","在院患者延数・月末在院患者数・新入院患者数・退院患者数・月末病床利用率・病床数，月・病院ー病床の種類別","病院報告","令和３年病院報告","全国編","月別推移","年次","202101-202112","2025-02-26"
"0004019962","00450023","J9-2","在院患者延数・月末在院患者数・新入院患者数・退院患者数・平均在院日数・月末病床利用率・病床数，月・病床の種類別","病院報告","令和３年病院報告","全国編","月別推移","年次","202101-202112","2025-02-26"
"0004019965","00450023","J18","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病院－病床の種類・開設者（小分類）別","病院報告","令和３年病院報告","全国編","開設者","年次","202101-202112","2025-02-26"
"0004019966","00450023","J21","外来患者延数，病院の種類・開設者（小分類）別","病院報告","令和３年病院報告","全国編","開設者","年次","202101-202112","2025-02-26"
"0004019967","00450023","J22","病院数（６月末現在），病院の種類・開設者（小分類）別","病院報告","令和３年病院報告","全国編","開設者","年次","202101-202112","2025-02-26"
"0004019968","00450023","J26","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病床の種類・開設者（小分類）別","病院報告","令和３年病院報告","全国編","開設者","年次","202101-202112","2025-02-26"
"0004019969","00450023","J32","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病院－病床の種類・病床規模別","病院報告","令和３年病院報告","全国編","病床規模","年次","202101-202112","2025-02-26"
"0004019970","00450023","J35","外来患者延数，病院の種類・病床規模別","病院報告","令和３年病院報告","全国編","病床規模","年次","202101-202112","2025-02-26"
"0004019971","00450023","J36","病院数（６月末現在），病院の種類・病床規模別","病院報告","令和３年病院報告","全国編","病床規模","年次","202101-202112","2025-02-26"
"0004019972","00450023","J40","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病床の種類・病床規模別","病院報告","令和３年病院報告","全国編","病床規模","年次","202101-202112","2025-02-26"
"0004019974","00450023","J46","療養病床・介護療養病床の患者数・病床利用率・平均在院日数，開設者（大分類）・病院－診療所別","病院報告","令和３年病院報告","全国編","療養病床","年次","202101-202112","2025-02-26"
"0004019975","00450023","J47","病院・診療所の療養病床，月・患者数・月末病床利用率・平均在院日数・月末病床数別","病院報告","令和３年病院報告","全国編","療養病床","年次","202101-202112","2025-02-26"
"0004019976","00450023","J50","病院・診療所の介護療養病床，月・患者数・月末病床利用率・平均在院日数・月末病床数別","病院報告","令和３年病院報告","全国編","療養病床","年次","202101-202112","2025-02-26"
"0004019977","00450023","G1","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病院－病床の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","都道府県・指定都市・特別区・中核市","年次","202101-202112","2025-02-26"
"0004019981","00450023","G15","在院患者延数・新入院患者数・退院患者数・外来患者延数，病床規模・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","都道府県・指定都市・特別区・中核市","年次","202101-202112","2025-02-26"
"0004019978","00450023","G4","外来患者延数，病院の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","都道府県・指定都市・特別区・中核市","年次","202101-202112","2025-02-26"
"0004019979","00450023","G5","病院数（６月末現在），病院の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","都道府県・指定都市・特別区・中核市","年次","202101-202112","2025-02-26"
"0004019980","00450023","G9","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病床の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","都道府県・指定都市・特別区・中核市","年次","202101-202112","2025-02-26"
"0004019982","00450023","G19-1","人口１０万対１日平均在院患者数・人口１０万対１日平均新入院患者数・人口１０万対１日平均退院患者数，病院の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","人口10万対1日平均患者数","年次","202101-202112","2025-02-26"
"0004019984","00450023","G19-2","人口１０万対１日平均在院患者数・人口１０万対１日平均新入院患者数・人口１０万対１日平均退院患者数，病床の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","人口10万対1日平均患者数","年次","202101-202112","2025-02-26"
"0004019983","00450023","G22","人口１０万対１日平均外来患者数，病院の種類・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","人口10万対1日平均患者数","年次","202101-202112","2025-02-26"
"0004019985","00450023","G23","病院・診療所の療養病床，患者数・病床利用率・平均在院日数・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","療養病床","年次","202101-202112","2025-02-26"
"0004019987","00450023","G25","病院・診療所の介護療養病床，患者数・病床利用率・平均在院日数・都道府県－指定都市・特別区・中核市（再掲）別","病院報告","令和３年病院報告","都道府県編","療養病床","年次","202101-202112","2025-02-26"
