"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00650405","0003220118","表1-1　食品廃棄物の収集方法","-",,"2018-08-03"
"00650405","0003220120","表1-2　食品廃棄物の収集方法（地方別）","-",,"2018-08-03"
"00650405","0003220122","表2-1　家庭から排出された食品廃棄物の量の把握/推計の有無","-",,"2018-08-03"
"00650405","0003220123","表2-2　家庭から排出された食品廃棄物の量の把握/推計の有無（地方別）","-",,"2018-08-03"
"00650405","0003220124","表2-3　家庭から排出された食品廃棄物の量","-",,"2018-08-03"
"00650405","0003220125","表4　組成調査の実施方法","-",,"2018-08-03"
"00650405","0003220127","表3　食品廃棄物排出量の計算方法","-",,"2018-08-03"
"00650405","0003220129","表5　調査対象の収集区分","-",,"2018-08-03"
"00650405","0003220132","表6　組成調査の調査方法","-",,"2018-08-03"
"00650405","0003220139","表7　家庭から排出された食品ロス量の調査の実施の有無","-",,"2018-08-03"
"00650405","0003220141","表8　家庭から排出された食品ロス量の調査方法","-",,"2018-08-03"
"00650405","0003220143","表9　家庭から排出された食品ロス量の調査の対象","-",,"2018-08-03"
"00650405","0003220144","表10　家庭から排出された食品ロス量の推計の実施の有無","-",,"2018-08-03"
"00650405","0003220146","表11-1　家庭から排出される食品ロスの量","-",,"2018-08-03"
"00650405","0003220148","表11-2　家庭から排出された食品ロス量の計算方法","-",,"2018-08-03"
