"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00100105","0003286000","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　調査方法〔訪問・ＷＥＢ〕","年度次","201604-201703","2019-06-15"
"00100105","0003276810","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ２〔ネット利用状況〕【全数】","年度次","201604-201703","2019-06-15"
"00100105","0003276811","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ３〔ネット利用項目〕","年度次","201604-201703","2019-06-15"
"00100105","0003276812","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ４〔ネット利用時間〕","年度次","201604-201703","2019-06-15"
"00100105","0003289276","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ５〔無線ＬＡＮ利用状況（無線ＬＡＮ利用まとめ）〕","年度次","201604-201703","2019-06-15"
"00100105","0003276813","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ５〔無線ＬＡＮ利用状況〕","年度次","201604-201703","2019-06-15"
"00100105","0003276814","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ６〔インターネット利用上での経験〕","年度次","201604-201703","2019-06-15"
"00100105","0003286001","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ７〔インターネット利用についての家庭のルール〕","年度次","201604-201703","2019-06-15"
"00100105","0003276816","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ８〔インターネットに関する啓発や学習の経験〕","年度次","201604-201703","2019-06-15"
"00100105","0003297820","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｆ１・Ｆ２〔性・年齢別〕","年度次","201604-201703","2019-06-15"
"00100105","0003286003","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｆ３〔学年〕","年度次","201604-201703","2019-06-15"
"00100105","0003298121","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　〔性・学校種別〕","年度次","201604-201703","2019-06-15"
"00100105","0003276802","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　〔啓発学習経験・学校種別〕","年度次","201604-201703","2019-06-15"
"00100105","0003276803","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　〔家庭のルール・学校種別〕","年度次","201604-201703","2019-06-15"
"00100105","0003276804","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｑ２〔インターネット利用・学校種別〕","年度次","201604-201703","2019-06-15"
"00100105","0003276805","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　Ｆ４〔兄・姉の有無〕","年度次","201604-201703","2019-06-15"
"00100105","0003318674","機器の利用状況／ネット利用状況_ネット利用まとめ／【全数】ネット利用状況_ネット利用まとめ／無線ＬＡＮ利用状況_無線ＬＡＮ利用まとめ　〔地域〕","年度次","201604-201703","2019-06-15"
