"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004013460","00450433","1","食料の困窮経験（時系列データ）","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013469","00450433","10","頼れる人の有無，世帯タイプ別","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013461","00450433","2","食料の困窮経験，世帯タイプ別","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013462","00450433","3","衣料の困窮経験（時系列データ）","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013463","00450433","4","衣料の困窮経験，世帯タイプ別","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013464","00450433","5","過去1年間の公共料金等の未払い・滞納経験（時系列データ）","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013465","00450433","6","過去1年間の公共料金等の未払い・滞納経験，世帯タイプ別","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013466","00450433","7","普段の会話頻度（時系列データ）","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013467","00450433","8","普段の会話頻度，世帯タイプ別","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
"0004013468","00450433","9","頼れる人の有無（時系列データ）","2022年 生活と支え合いに関する調査","2022年 生活と支え合いに関する調査","-",202207,"2024-03-01"
